          0.001              0-7.5373041e-013   -0.086617135   -0.086617135    -0.20555258    -0.20555258    -0.21820593    -0.21820593
          0.026   0.0016924687   0.0016924687   -0.087734001   -0.087734001    -0.20410556    -0.20410556    -0.21999494    -0.21999494
          0.051   0.0062723202   0.0062723201   -0.090670543   -0.090670543    -0.20120105    -0.20120105    -0.22387514    -0.22387514
          0.076    0.013190522    0.013190522   -0.094872856   -0.094872856    -0.19801601    -0.19801601    -0.22867053    -0.22867053
          0.101    0.021869132    0.021869132   -0.099755799   -0.099755799    -0.19497429    -0.19497429    -0.23395816    -0.23395816
          0.126    0.031843646    0.031843646    -0.10484663    -0.10484663    -0.19224382    -0.19224382    -0.23957001    -0.23957001
          0.151    0.042780002    0.042780002    -0.10980409    -0.10980409    -0.18991711    -0.18991711    -0.24541079    -0.24541079
          0.176    0.054445576    0.054445576    -0.11439277    -0.11439277    -0.18805993    -0.18805993     -0.2514067     -0.2514067
          0.201    0.066677412    0.066677412    -0.11845665    -0.11845665    -0.18672272    -0.18672272    -0.25748967    -0.25748967
          0.226     0.07935876     0.07935876    -0.12190307    -0.12190307    -0.18593873    -0.18593873    -0.26359304    -0.26359304
          0.251    0.092403602    0.092403602    -0.12469541    -0.12469541    -0.18571726    -0.18571726    -0.26965161    -0.26965161
          0.276     0.10574677     0.10574677    -0.12684882    -0.12684882    -0.18603772    -0.18603772    -0.27560368    -0.27560368
          0.301      0.1193376      0.1193376    -0.12842295    -0.12842295    -0.18684945    -0.18684945    -0.28139364    -0.28139364
          0.326     0.13313581     0.13313581    -0.12950914    -0.12950914    -0.18807918    -0.18807918    -0.28697447    -0.28697447
          0.351     0.14710875     0.14710875    -0.13021423    -0.13021423    -0.18964339    -0.18964339    -0.29230967    -0.29230967
          0.376     0.16122953     0.16122953    -0.13064568    -0.13064568    -0.19146052    -0.19146052    -0.29737419     -0.2973742
          0.401     0.17547564     0.17547564    -0.13090138    -0.13090138    -0.19345925    -0.19345925    -0.30215458    -0.30215458
          0.426     0.18982808     0.18982808    -0.13106485    -0.13106485    -0.19558221    -0.19558221    -0.30664808    -0.30664808
          0.451     0.20427062     0.20427062    -0.13120427    -0.13120427     -0.1977861     -0.1977861    -0.31086125    -0.31086125
          0.476     0.21878926     0.21878926    -0.13137384    -0.13137384       -0.20004       -0.20004    -0.31480813    -0.31480813
          0.501     0.23337187     0.23337187    -0.13161593    -0.13161593    -0.20232296    -0.20232296    -0.31850828    -0.31850828
          0.526     0.24800786     0.24800786    -0.13196333    -0.13196333    -0.20462176    -0.20462176    -0.32198494    -0.32198494
          0.551     0.26268793     0.26268793    -0.13244128    -0.13244128    -0.20692888    -0.20692888    -0.32526343    -0.32526343
          0.576     0.27740386     0.27740386    -0.13306914    -0.13306914      -0.209241      -0.209241     -0.3283698     -0.3283698
          0.601      0.2921484      0.2921484    -0.13386166    -0.13386166    -0.21155778    -0.21155778    -0.33132984    -0.33132985
          0.626     0.30691508     0.30691508    -0.13483003    -0.13483003      -0.213881      -0.213881     -0.3341684     -0.3341684
          0.651     0.32169816     0.32169816    -0.13598266    -0.13598266    -0.21621392    -0.21621392    -0.33690886    -0.33690886
          0.676      0.3364925      0.3364925    -0.13732579    -0.13732579     -0.2185608     -0.2185608    -0.33957289    -0.33957289
          0.701     0.35129349     0.35129349    -0.13886394    -0.13886394    -0.22092657    -0.22092657    -0.34218036    -0.34218036
          0.726     0.36609701     0.36609701    -0.14060025    -0.14060025    -0.22331662    -0.22331662    -0.34474925    -0.34474925
          0.751     0.38089935     0.38089935    -0.14253682    -0.14253682    -0.22573656    -0.22573656     -0.3472958     -0.3472958
          0.776     0.39569718     0.39569718    -0.14467487    -0.14467487    -0.22819215    -0.22819215    -0.34983452    -0.34983452
          0.801     0.41048749     0.41048749    -0.14701494    -0.14701494    -0.23068919    -0.23068919    -0.35237837    -0.35237837
          0.826     0.42526759     0.42526759    -0.14955702    -0.14955702    -0.23323342    -0.23323342    -0.35493888    -0.35493888
          0.851     0.44003505     0.44003505    -0.15230069    -0.15230069    -0.23583054    -0.23583054     -0.3575263     -0.3575263
          0.876     0.45478768     0.45478768    -0.15524515    -0.15524515    -0.23848611    -0.23848611    -0.36014971    -0.36014971
          0.901     0.46952351     0.46952351    -0.15838936    -0.15838936    -0.24120556    -0.24120556     -0.3628172     -0.3628172
          0.926     0.48424078     0.48424078    -0.16173202    -0.16173202    -0.24399416    -0.24399416    -0.36553593    -0.36553593
          0.951     0.49893789     0.49893789    -0.16527171    -0.16527171      -0.246857      -0.246857    -0.36831227    -0.36831227
          0.976     0.51361343     0.51361343    -0.16900685    -0.16900685    -0.24979899    -0.24979899     -0.3711519     -0.3711519
          1.001     0.52826612     0.52826612    -0.17293576    -0.17293576    -0.25282486    -0.25282486     -0.3740599     -0.3740599
