          0.001              0 -1.110223e-013   -0.088654464   -0.088654464    -0.16031636    -0.16031636    -0.18921682    -0.18921682
          0.026   0.0018006397   0.0018006397   -0.089769305   -0.089769305    -0.15971266    -0.15971266    -0.19022394    -0.19022394
          0.051   0.0066655729   0.0066655729   -0.092670673   -0.092670673    -0.15821432    -0.15821432     -0.1928756     -0.1928756
          0.076    0.013996789    0.013996789    -0.09673813    -0.09673813    -0.15626021    -0.15626021     -0.1967408     -0.1967408
          0.101    0.023169613    0.023169613    -0.10130988    -0.10130988    -0.15424595    -0.15424595    -0.20143627    -0.20143627
          0.126    0.033685749    0.033685749     -0.1058363     -0.1058363    -0.15246837    -0.15246837    -0.20668054    -0.20668054
          0.151    0.045189049    0.045189049    -0.10990092    -0.10990092    -0.15115708    -0.15115708    -0.21225614    -0.21225614
          0.176    0.057432824    0.057432824      -0.113208      -0.113208    -0.15049191    -0.15049191    -0.21797165    -0.21797165
          0.201    0.070245201    0.070245201    -0.11559283    -0.11559283    -0.15057929    -0.15057929     -0.2236423     -0.2236423
          0.226     0.08350383     0.08350383    -0.11704923    -0.11704923    -0.15140869    -0.15140869    -0.22908736    -0.22908736
          0.251    0.097119272    0.097119272    -0.11772069    -0.11772069    -0.15284749    -0.15284749    -0.23414137    -0.23414137
          0.276     0.11102439     0.11102439    -0.11783064    -0.11783064    -0.15469975    -0.15469975    -0.23867535    -0.23867535
          0.301     0.12516754     0.12516754    -0.11760156    -0.11760156    -0.15677934    -0.15677934    -0.24261921    -0.24261921
          0.326     0.13950812     0.13950812    -0.11721195    -0.11721195    -0.15894759    -0.15894759     -0.2459718     -0.2459718
          0.351     0.15401357     0.15401357    -0.11679034    -0.11679034    -0.16111608    -0.16111608    -0.24879057    -0.24879057
          0.376     0.16865739     0.16865739    -0.11642487    -0.11642487    -0.16323507    -0.16323507     -0.2511668     -0.2511668
          0.401     0.18341766     0.18341766    -0.11617495    -0.11617495    -0.16528093    -0.16528093    -0.25320016    -0.25320016
          0.426     0.19827601     0.19827601    -0.11608052    -0.11608052    -0.16724651    -0.16724651     -0.2549821     -0.2549821
          0.451     0.21321694     0.21321694    -0.11616835    -0.11616835    -0.16913476    -0.16913476    -0.25658882    -0.25658882
          0.476     0.22822718     0.22822718    -0.11645631    -0.11645631     -0.1709546     -0.1709546    -0.25808047    -0.25808047
          0.501      0.2432953      0.2432953    -0.11695614    -0.11695614    -0.17271838    -0.17271838    -0.25950321    -0.25950321
          0.526     0.25841139     0.25841139    -0.11767529    -0.11767529    -0.17444026    -0.17444026    -0.26089195    -0.26089196
          0.551     0.27356679     0.27356679    -0.11861813    -0.11861813    -0.17613522    -0.17613522    -0.26227302    -0.26227302
          0.576     0.28875391     0.28875391    -0.11978687    -0.11978688    -0.17781836    -0.17781836    -0.26366624    -0.26366624
          0.601     0.30396603     0.30396603    -0.12118212    -0.12118212    -0.17950456    -0.17950456    -0.26508662    -0.26508662
          0.626     0.31919721     0.31919721    -0.12280332    -0.12280332    -0.18120819    -0.18120819    -0.26654561    -0.26654561
          0.651     0.33444214     0.33444214    -0.12464908    -0.12464909    -0.18294293    -0.18294293    -0.26805199    -0.26805199
          0.676     0.34969611     0.34969611    -0.12671743    -0.12671743    -0.18472168    -0.18472168    -0.26961263    -0.26961263
          0.701     0.36495488     0.36495488    -0.12900595    -0.12900595    -0.18655654    -0.18655654    -0.27123293    -0.27123293
          0.726     0.38021465     0.38021465    -0.13151193    -0.13151193    -0.18845875    -0.18845875    -0.27291726    -0.27291726
          0.751       0.395472       0.395472    -0.13423249     -0.1342325     -0.1904387     -0.1904387    -0.27466922    -0.27466922
          0.776     0.41072385     0.41072385    -0.13716463    -0.13716463    -0.19250596    -0.19250596    -0.27649189    -0.27649189
          0.801     0.42596742     0.42596742    -0.14030528    -0.14030528    -0.19466929    -0.19466929    -0.27838794    -0.27838794
          0.826     0.44120019     0.44120019    -0.14365139    -0.14365139    -0.19693668    -0.19693668     -0.2803598     -0.2803598
          0.851     0.45641989     0.45641989    -0.14719991    -0.14719991     -0.1993154     -0.1993154    -0.28240973    -0.28240973
          0.876     0.47162446     0.47162446    -0.15094784    -0.15094784    -0.20181202    -0.20181202    -0.28453989    -0.28453989
          0.901     0.48681203     0.48681203    -0.15489226    -0.15489226    -0.20443247    -0.20443247    -0.28675239    -0.28675239
          0.926     0.50198092     0.50198092    -0.15903032    -0.15903032    -0.20718205    -0.20718205    -0.28904932    -0.28904932
          0.951      0.5171296      0.5171296    -0.16335925    -0.16335925    -0.21006554    -0.21006554    -0.29143281    -0.29143281
          0.976     0.53225668     0.53225668    -0.16787635    -0.16787635    -0.21308715    -0.21308715    -0.29390498    -0.29390498
          1.001     0.54736091     0.54736091    -0.17257904    -0.17257904    -0.21625064    -0.21625064    -0.29646803    -0.29646803
