          0.001              0-1.4466206e-013   -0.087361698   -0.087361698    -0.14678367    -0.14678367    -0.17805038    -0.17805038
          0.026   0.0018739617   0.0018739617   -0.088499811   -0.088499811    -0.14625113    -0.14625113    -0.17901438    -0.17901438
          0.051   0.0069229481   0.0069229481   -0.091438509   -0.091438509    -0.14492033    -0.14492033    -0.18157952    -0.18157952
          0.076    0.014501086    0.014501086   -0.095497387   -0.095497387    -0.14318202    -0.14318202    -0.18536584    -0.18536584
          0.101     0.02394565     0.02394565   -0.099954441   -0.099954441    -0.14142424    -0.14142424    -0.19000283    -0.19000283
          0.126    0.034737459    0.034737459    -0.10420448    -0.10420448    -0.13997543    -0.13997543     -0.1951843     -0.1951843
          0.151    0.046510956    0.046510956    -0.10777947    -0.10777947    -0.13911749    -0.13911749    -0.20064033    -0.20064033
          0.176    0.059015809    0.059015809    -0.11036271    -0.11036271    -0.13906373    -0.13906373    -0.20610424    -0.20610424
          0.201    0.072079101    0.072079101    -0.11185487    -0.11185487    -0.13987256    -0.13987256    -0.21130298    -0.21130298
          0.226     0.08557857     0.08557857    -0.11240613    -0.11240613    -0.14139521    -0.14139521    -0.21598187    -0.21598187
          0.251    0.099425347    0.099425347    -0.11231133    -0.11231133    -0.14336411    -0.14336411    -0.21996237    -0.21996237
          0.276     0.11355305     0.11355305    -0.11186046    -0.11186046    -0.14553042    -0.14553042    -0.22319624    -0.22319624
          0.301     0.12791083     0.12791083    -0.11126907    -0.11126907    -0.14772551    -0.14772551    -0.22576276    -0.22576276
          0.326     0.14245888     0.14245888    -0.11067922    -0.11067922    -0.14985514    -0.14985514    -0.22780887    -0.22780887
          0.351     0.15716539     0.15716539    -0.11018083    -0.11018083    -0.15187535    -0.15187535    -0.22948645    -0.22948645
          0.376     0.17200453     0.17200453    -0.10983052    -0.10983052    -0.15377233    -0.15377233    -0.23092059    -0.23092059
          0.401       0.186955       0.186955    -0.10966406    -0.10966406    -0.15554947    -0.15554947    -0.23220384    -0.23220384
          0.426     0.20199903     0.20199903    -0.10970407    -0.10970407     -0.1572196     -0.1572196    -0.23340154    -0.23340154
          0.451     0.21712157     0.21712157     -0.1099646     -0.1099646    -0.15880053    -0.15880053    -0.23455897    -0.23455897
          0.476     0.23230982     0.23230982    -0.11045406    -0.11045406    -0.16031239    -0.16031239    -0.23570748    -0.23570748
          0.501     0.24755273     0.24755273    -0.11117698    -0.11117698    -0.16177612    -0.16177612    -0.23686884    -0.23686884
          0.526     0.26284074     0.26284074    -0.11213526    -0.11213526    -0.16321245    -0.16321245    -0.23805833    -0.23805833
          0.551     0.27816549     0.27816549     -0.1133289     -0.1133289    -0.16464141    -0.16464141    -0.23928681    -0.23928681
          0.576     0.29351964     0.29351964    -0.11475663    -0.11475663    -0.16608196    -0.16608196    -0.24056215    -0.24056215
          0.601     0.30889671     0.30889671    -0.11641625    -0.11641625     -0.1675518     -0.1675518    -0.24189018    -0.24189018
          0.626     0.32429093     0.32429093    -0.11830494    -0.11830494    -0.16906732    -0.16906732    -0.24327542    -0.24327542
          0.651      0.3396972      0.3396972    -0.12041947    -0.12041947    -0.17064352    -0.17064352     -0.2447215     -0.2447215
          0.676     0.35511091     0.35511091    -0.12275637    -0.12275637    -0.17229407    -0.17229407    -0.24623152    -0.24623152
          0.701     0.37052796     0.37052796    -0.12531199    -0.12531199    -0.17403133    -0.17403133    -0.24780825    -0.24780825
          0.726     0.38594465     0.38594465    -0.12808266    -0.12808266    -0.17586642    -0.17586642     -0.2494543     -0.2494543
          0.751     0.40135764     0.40135764    -0.13106469    -0.13106469     -0.1778093     -0.1778093    -0.25117222    -0.25117222
          0.776     0.41676393     0.41676393    -0.13425445    -0.13425445    -0.17986887    -0.17986887    -0.25296455    -0.25296455
          0.801     0.43216079     0.43216079    -0.13764839    -0.13764839    -0.18205301    -0.18205301     -0.2548339     -0.2548339
          0.826     0.44754573     0.44754573    -0.14124308    -0.14124308    -0.18436868    -0.18436868    -0.25678294    -0.25678294
          0.851     0.46291654     0.46291654    -0.14503518    -0.14503518    -0.18682201    -0.18682201     -0.2588144     -0.2588144
          0.876     0.47827116     0.47827116    -0.14902149    -0.14902149    -0.18941837    -0.18941837     -0.2609311     -0.2609311
          0.901     0.49360777     0.49360777    -0.15319895    -0.15319895    -0.19216241    -0.19216241    -0.26313596    -0.26313596
          0.926     0.50892467     0.50892467    -0.15756462    -0.15756462    -0.19505817    -0.19505817    -0.26543191    -0.26543191
          0.951     0.52422034     0.52422034    -0.16211569    -0.16211569    -0.19810913    -0.19810913    -0.26782199    -0.26782199
          0.976     0.53949341     0.53949341    -0.16684946    -0.16684946    -0.20131822    -0.20131822    -0.27030925    -0.27030925
          1.001     0.55474262     0.55474262    -0.17176334    -0.17176334    -0.20468794    -0.20468794    -0.27289677    -0.27289677
