          0.001              0-4.6440629e-013   -0.087363771   -0.087363771    -0.18935556    -0.18935556    -0.20846708    -0.20846708
          0.026   0.0017250585   0.0017250585   -0.088481335   -0.088481335     -0.1883845     -0.1883845     -0.2097977     -0.2097977
          0.051   0.0063912365   0.0063912365   -0.091411844   -0.091411844    -0.18616394    -0.18616394    -0.21304478    -0.21304478
          0.076    0.013435487    0.013435487   -0.095583347   -0.095583347    -0.18348613    -0.18348613    -0.21741899    -0.21741899
          0.101    0.022266192    0.022266191    -0.10039045    -0.10039045    -0.18081591    -0.18081591    -0.22245955    -0.22245955
          0.126    0.032408678    0.032408678    -0.10534135    -0.10534135    -0.17839434    -0.17839434    -0.22792924    -0.22792924
          0.151     0.04352203     0.04352203    -0.11007745    -0.11007745    -0.17636612    -0.17636612    -0.23368467    -0.23368467
          0.176    0.055369123    0.055369123     -0.1143489     -0.1143489    -0.17483355    -0.17483355    -0.23961754    -0.23961754
          0.201    0.067784057    0.067784057    -0.11799177    -0.11799177    -0.17387081    -0.17387081    -0.24563177    -0.24563177
          0.226    0.080648169    0.080648169    -0.12091824    -0.12091824    -0.17351921    -0.17351921    -0.25163589    -0.25163589
          0.251    0.093874228    0.093874228    -0.12311477    -0.12311477    -0.17377613    -0.17377613    -0.25754235    -0.25754235
          0.276     0.10739633     0.10739633    -0.12463698    -0.12463698    -0.17459022    -0.17459022     -0.2632701     -0.2632701
          0.301      0.1211634      0.1211634    -0.12559271    -0.12559271    -0.17587095    -0.17587095    -0.26874849    -0.26874849
          0.326       0.135135       0.135135    -0.12611585    -0.12611585    -0.17750937    -0.17750937    -0.27392121    -0.27392121
          0.351     0.14927846     0.14927846    -0.12634117    -0.12634117    -0.17939957    -0.17939957    -0.27874923    -0.27874923
          0.376     0.16356697     0.16356697     -0.1263881     -0.1263881    -0.18145223    -0.18145223    -0.28321228    -0.28321228
          0.401     0.17797819     0.17797819     -0.1263544     -0.1263544    -0.18359938    -0.18359938    -0.28730826    -0.28730826
          0.426     0.19249334     0.19249334    -0.12631637    -0.12631637    -0.18579312    -0.18579312    -0.29105105    -0.29105105
          0.451     0.20709639     0.20709639    -0.12633194    -0.12633194    -0.18800201    -0.18800201    -0.29446691    -0.29446691
          0.476     0.22177362     0.22177362    -0.12644451    -0.12644451    -0.19020701    -0.19020701    -0.29759048    -0.29759048
          0.501     0.23651312     0.23651312    -0.12668632    -0.12668632    -0.19239805    -0.19239805    -0.30046081    -0.30046081
          0.526     0.25130454     0.25130454     -0.1270812     -0.1270812    -0.19457131    -0.19457131    -0.30311815    -0.30311815
          0.551     0.26613882     0.26613882    -0.12764675    -0.12764675    -0.19672727    -0.19672727    -0.30560157    -0.30560157
          0.576     0.28100795     0.28100795    -0.12839581    -0.12839581    -0.19886929    -0.19886929    -0.30794741    -0.30794741
          0.601      0.2959049      0.2959049    -0.12933769    -0.12933769    -0.20100266    -0.20100266    -0.31018847    -0.31018847
          0.626     0.31082338     0.31082338    -0.13047898    -0.13047898    -0.20313389    -0.20313389    -0.31235376    -0.31235376
          0.651     0.32575782     0.32575782    -0.13182423    -0.13182423    -0.20527023    -0.20527023    -0.31446853    -0.31446853
          0.676     0.34070325     0.34070325    -0.13337636    -0.13337636    -0.20741937    -0.20741937    -0.31655454    -0.31655454
          0.701     0.35565519     0.35565519    -0.13513712    -0.13513712    -0.20958916    -0.20958916    -0.31863039    -0.31863039
          0.726     0.37060966     0.37060966    -0.13710725    -0.13710725    -0.21178752    -0.21178752    -0.32071195    -0.32071195
          0.751     0.38556307     0.38556307    -0.13928679    -0.13928679    -0.21402223    -0.21402223    -0.32281269    -0.32281269
          0.776     0.40051217     0.40051217    -0.14167519    -0.14167519    -0.21630095    -0.21630095    -0.32494406    -0.32494406
          0.801     0.41545406     0.41545406    -0.14427146    -0.14427146    -0.21863109    -0.21863109    -0.32711579    -0.32711579
          0.826     0.43038612     0.43038612    -0.14707427    -0.14707427    -0.22101981    -0.22101981    -0.32933616    -0.32933616
          0.851     0.44530598     0.44530598    -0.15008202    -0.15008202      -0.223474      -0.223474    -0.33161225    -0.33161225
          0.876     0.46021151     0.46021151    -0.15329294    -0.15329294    -0.22600021    -0.22600021    -0.33395012    -0.33395012
          0.901     0.47510078     0.47510078    -0.15670509    -0.15670509    -0.22860471    -0.22860471    -0.33635499    -0.33635499
          0.926     0.48997206     0.48997206    -0.16031644    -0.16031644    -0.23129344    -0.23129344     -0.3388314     -0.3388314
          0.951     0.50482378     0.50482378    -0.16412489    -0.16412489    -0.23407202    -0.23407202    -0.34138332    -0.34138332
          0.976     0.51965454     0.51965454     -0.1681283     -0.1681283    -0.23694575    -0.23694575    -0.34401422    -0.34401422
          1.001     0.53446308     0.53446308     -0.1723245     -0.1723245    -0.23991962    -0.23991962    -0.34672724    -0.34672724
